name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Goblin Haberdasher,Unstable,silver,{2}{R},Creature — Goblin Hatificer,Menace (This creature can't be blocked except by two or more creatures.)\nOther creatures you control wearing hats in their art have menace,2,2,,83,goblinexplosioneers,0.12,0.09
Time Out,Unstable,silver,{4}{U},Instant,"Roll a six-sided die. Put target nonland permanent into its owner's library just beneath the top X cards of that library, where X is the result.",,,,48,agentsofsneak,0.08,0.1
Head Banger,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Head Banger, target creature must be blocked this turn if able.",,,,188,goblinexplosioneers,0.09,0.12
Wild Crocodile,Unstable,silver,{1}{G},Host Creature — Crocodile,"When this creature enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle.",1,1,,125,,0.07,0.03
Painiac,Unsanctioned,silver,{2}{R},Creature — Brainiac,"At the beginning of your upkeep, roll a six-sided die. Painiac gets +X/+0 until end of turn, where X is the result.",0,3,,55,leagueofdastardlydoom,0.12,0.19
Vile Bile,Unhinged,silver,{1}{B},Creature — Ooze,"Whenever a player's skin or fingernail touches Vile Bile, that player loses 2 life.",2.5,2.5,,65,,0.17,0.05
My First Tome,Unhinged,silver,{3},Artifact,"{1}, {T}: Say the flavor text on a card in your hand. Target opponent guesses that card's name. You may reveal that card. If you do and they guessed wrong, you draw a card.",,,,125★,flavor,,
Rapid Prototyper,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Rapid Prototyper, create an X/X colorless Construct artifact creature token, where X is the number of artifacts you control.",,,,200,orderofthewidget,0.35,0.46
Bad Ass,Unhinged,silver,{2}{B}{B},Creature — Donkey Zombie,"{1}{B}, Growl: Regenerate Bad Ass.",3.5,1,,49,,0.22,0.1
Super-Duper Death Ray,Unstable,silver,{2}{R},Instant,Trample (This spell can deal excess damage to its target's controller.)\nSuper-Duper Death Ray deals 4 damage to target creature,,,,97,leagueofdastardlydoom,0.13,0.05
Phyrexian Librarian,Unhinged,silver,{3}{B},Creature — Phyrexian Horror,"Flying, trample\nAt the beginning of your upkeep, exile the top card of your library and balance it on your body.\nWhen a balanced card falls or touches another balanced card, sacrifice Phyrexian Libraria",3,3,,62,,0.24,0.05
Clambassadors,Unglued,silver,{3}{U},Creature — Clamfolk,"Whenever Clambassadors deals damage to a player, choose an artifact, creature, or land you control. That player gains control of that permanent.",4,4,,18,,0.17,0.29
Common Courtesy,Unsanctioned,silver,{2}{U}{U},Enchantment,"Whenever a player casts a spell without asking your permission while casting it, counter that spell.\nWhen a player asks you permission to cast a spell and you refuse, counter that spell and sacrifice Common Courtesy",,,,22,,0.13,0.02
Beast in Show,Unstable,silver,{4}{G}{G},Creature — Beast,Trample,6,4,,103a,,0.15,0.06
Handy Dandy Clone Machine,Unstable,silver,{3},Artifact,"{2}, {T}: Create a 2/2 colorless Homunculus creature token. It must be represented by a unique hand and two fingers at all times, or it ceases to exist.",,,,149,leagueofdastardlydoom,0.08,0.25
Hangman,Unstable,silver,{B},Creature — Human Villain,"As Hangman enters the battlefield, secretly note a word with six to eight letters.\n{1}: Target player who doesn't control Hangman guesses the noted word or an unguessed letter in that word. If they guess wrong, put a +1/+1 counter on Hangman. Any player may activate this ability.\nWhen a player guesses the noted word or all of its letters, sacrifice Hangma",1,1,,56,leagueofdastardlydoom,0.2,0.18
Monkey Monkey Monkey,Unhinged,silver,{3}{G},Creature — Monkey,"As Monkey Monkey Monkey enters the battlefield, choose a letter.\nMonkey Monkey Monkey gets +1/+1 for each nonland permanent whose name begins with the chosen letter",1,1,,104,,0.18,0.14
Time Machine,Unhinged,silver,{5},Artifact,"{T}: Exile Time Machine and target nontoken creature you own. Return them to the battlefield at the beginning of your upkeep on your turn X in the next game you play with one of your opponents in this game, where X is the mana value of the exiled creature.",,,,128,,0.77,0.25
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)",2,2,,12a,orderofthewidget,0.32,0.2
Hungry Hungry Heifer,Unglued,silver,{2}{G},Creature — Cow,"At the beginning of your upkeep, you may remove a counter from a permanent you control. If you don't, sacrifice Hungry Hungry Heifer.",3,3,,63,,0.23,0.39
Steamflogger of the Month,The List (Unfinity Foil Edition),silver,{3}{R}{R},Creature — Goblin Rigger,"When Steamflogger of the Month enters the battlefield, it assembles a Contraption for each Contraption you control. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",3,3,,30,goblinexplosioneers,,
Cramped Bunker,The List (Unfinity Foil Edition),silver,{4}{R}{G},Enchantment,"At the beginning of each opponent's upkeep, that player moves a permanent they control to touch Cramped Bunker and no other permanents. If the player can't, destroy each permanent they control that isn't touching Cramped Bunker, then sacrifice it.",,,,45,,,
Riveting Rigger,Unstable,silver,{2}{W},Artifact Creature — Cyborg Rigger,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",2,2,,19,orderofthewidget,0.04,0.19
The Grand Calcutron,Unstable,silver,{W}{U},Legendary Artifact,"The Grand Calcutron can be your commander.\nWhen The Grand Calcutron enters the battlefield, each player's hand becomes a program (an ordered row of revealed cards).\nPlayers can only play the first card of their program.\nIf a card would be put into a player's hand from anywhere, that player reveals it and places it anywhere within their program instead.\nAt the beginning of each player's end step, if that player's program has fewer than five cards, they draw cards equal to the differe",,,,131,orderofthewidget,0.27,0.45
Atinlay Igpay,Unhinged,silver,{5}{W},Eaturecray — Igpay,"Oubleday ikestray\nEnwhay ouyay eakspay ay onnay-igpay-atinlay ordway, acrificesay Atinlay Igpay",3,3,,1,,0.17,0.15
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)",2,2,,12f,orderofthewidget,0.28,0.24
Jackknight,Unstable,silver,{1}{W},Artifact Creature — Cyborg Knight,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",1,1,,11,orderofthewidget,0.19,0.18
Mother of Goons,Unhinged,silver,{2}{B},Creature — Human Cleric,"Whenever a creature an opponent controls dies, sacrifice Mother of Goons unless you insult that creature.",3,2,,59,,0.17,0.15
Landfill,Unglued,silver,{4}{R},Sorcery,"Choose a land type. Exile all lands you control of that type. Drop those cards, one at a time, onto the playing area from a height of at least one foot. Destroy each permanent completely covered by those cards. Then return the cards you dropped to the battlefield tapped.",,,,49,,0.4,0.7
"Timmy, Power Gamer",Unsanctioned,silver,{2}{G}{G},Legendary Creature — Human Gamer,{4}: You may put a creature card from your hand onto the battlefield.,1,1,,73,,0.23,0.1
Chicken à la King,Unglued,silver,{1}{U}{U},Creature — Bird Noble,"Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Bird. (You may roll dice only when instructed to.)\nTap an untapped Bird you control: Roll a six-sided die. (Like now.",2,2,,17,,0.93,0.75
Touch and Go,Unhinged,silver,{3}{R},Sorcery,"Destroy target land.\nGotcha — If an opponent touches their face, you may say \""Gotcha!\"" When you do, return Touch and Go from your graveyard to your ha",,,,90★,,,
"Phoebe, Head of S.N.E.A.K.",The List (Unfinity Foil Edition),silver,{1}{U}{B},Legendary Creature — Human Spy,"Phoebe, Head of S.N.E.A.K. can't be blocked by creatures with flavor text.\n{2}{U}{B}: Phoebe permanently steals target creature's text box. (That creature loses all rules text, flavor text, and watermarks. This creature gains them.",2,3,,52,agentsofsneak,,
Infernal Spawn of Infernal Spawn of Evil,Unhinged,silver,{8}{B}{B},Creature — Demon Child,"Flying, first strike, trample\nOnce each turn, while you're searching your library, you may pay {1}{B}, reveal Infernal Spawn of Infernal Spawn of Evil from your library and say \""I'm coming, too!\"" If you do, Infernal Spawn of Infernal Spawn of Evil deals 2 damage to a player of your choi",8,8,,57,,0.81,0.8
Cardpecker,Unhinged,silver,{1}{W},Creature — Bird,"Flying\nGotcha — If an opponent touches the table with their hand, you may say \""Gotcha!\"" When you do, return Cardpecker from your graveyard to your ha",1.5,1,,4,,0.18,0.1
Flaccify,Unhinged,silver,{2}{U},Instant,Counter target spell unless its controller pays {3}{½}.,,,,32,,0.16,0.1
Infinity Elemental,The List (Unfinity Foil Edition),silver,{4}{R}{R}{R},Creature — Elemental,(This creature has INFINITE POWER.),∞,5,,29,,,
Gift Horse,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Gift Horse, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",,,,183,goblinexplosioneers,0.16,0.25
Spirit // Spirit,Unstable Tokens,black,,Token Creature — Spirit // Token,,,,,3,,,
Mountain,Unhinged,black,"",Basic Land — Mountain,({T}: Add {R}.),,,,139,,5.32,2.21
Steamflogger Temp,Unstable,silver,{1}{R},Creature — Goblin Rigger,"{6}, {T}: Steamflogger Temp assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",2,1,,95,goblinexplosioneers,0.16,0.1
Defective Detective,Unstable,silver,{2}{U},Creature — Human Spy,"Defective Detective can't be blocked.\nWhen Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card",2,1,,32,agentsofsneak,0.06,0.29
Hazmat Suit (Used),Unstable,silver,{3}{B},Enchantment — Aura,"Enchant creature\nEnchanted creature gets +2/+1 and has menace.\nWhenever a player's skin or fingernail touches enchanted creature, that player loses 2 lif",,,,57,leagueofdastardlydoom,0.07,0.19
Wordmail,Unhinged,silver,{W},Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each word in its name,,,,22,,0.22,0.1
Bureaucracy,Unglued,silver,{3}{U}{U},Enchantment,"Pursuant to subsection 3.1(4) of Richard's Rules of Order, at the beginning of the upkeep of each participant in this game of the Magic: The Gathering® trading card game (hereafter known as \""PLAYER\""), that PLAYER performs all actions in the sequence of previously added actions (hereafter known as \""ACTION QUEUE\""), in the order those actions were added, then adds another action to the end of the ACTION QUEUE. All actions must be simple physical or verbal actions that a player can perform while sitting in a chair, without jeopardizing the health and security of said PLAYER.\nWhen any PLAYER does not perform all the prescribed actions in the correct order, sacrifice Bureaucracy and said PLAYER discards their complement of cards in hand (hereafter known as \""H",,,,14,,0.97,0.69
Ineffable Blessing,The List (Unfinity Foil Edition),silver,{1}{G},Enchantment,"As Ineffable Blessing enters the battlefield, choose white-bordered or silver-bordered.\nWhenever a creature with the chosen border enters the battlefield under your control, draw a card",,,,37,,,
Frankie Peanuts,Unsanctioned,silver,{2}{W}{W},Legendary Creature — Elephant Rogue,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",2,3,,5,,0.15,0.22
"Grusilda, Monster Masher",The List (Unfinity Foil Edition),silver,{3}{B}{R},Legendary Creature — Zombie Villain,"Combined, enchanted, and equipped creatures you control have menace.\n{3}{B}{R}, {T}: Put two target creature cards from graveyards onto the battlefield combined into one creature under your control. (Its power is equal to their total power, its toughness is equal to their total toughness, and it has their names, mana costs, types, text boxes, etc.",4,4,,48,leagueofdastardlydoom,,
Wild Crocodile,Unsanctioned,silver,{1}{G},Host Creature — Crocodile,"When this creature enters the battlefield, search your library for a basic land card, reveal it, put it into your hand, then shuffle.",1,1,,74,,0.09,0.02
Bronze Calendar,Unsanctioned,silver,{4},Artifact,"Spells you cast cost {1} less to cast.\nYou must speak in a voice other than your normal voice.\nWhen you speak in your normal voice, sacrifice Bronze Calenda",,,,76,,0.11,0.1
Mountain,Unstable,borderless,"",Basic Land — Mountain,({T}: Add {R}.),,,,215,,1.34,1.58
Cheap Ass,Unhinged,silver,{1}{W},Creature — Donkey Townsfolk,Spells you cast cost {½} less to cast.,1,3.5,,5,,0.21,0.15
Dragon,Unstable Tokens,silver,"",Token Creature — Dragon,Flying,4,4,,16,,,
Super Secret Tech,Unhinged,silver,{3},Artifact,Premium spells cost {1} less to cast.\nPremium creatures get +1/+1,,,,141,,,
Spirit of the Season,Unsanctioned,silver,{1}{G}{G},Creature — Treefolk Spirit,"When Spirit of the Season enters the battlefield, it gains haste if it's summer. Put a +1/+1 counter on it if it's autumn. You gain 5 life if it's winter. If it's spring, search your library for a basic land card, reveal it, put it into your hand, then shuffle.",3,3,,70,,0.11,0.02
Farewell to Arms,Unhinged,silver,{1}{B}{B},Enchantment,"As Farewell to Arms enters the battlefield, choose a hand attached to an opponent's arm.\nWhen the chosen hand isn't behind its owner's back, sacrifice Farewell to Arms. If you do, that player discards their hand . . . of cards. (The lawyers wouldn't let us do it the other way.",,,,56★,flavor,,
Border Guardian,Unstable,silver,{4},Artifact Creature — Knight,"Whenever you cast a silver-bordered spell, put a +1/+1 counter on Border Guardian.\nWhenever you cast a black-bordered spell, Border Guardian can't be blocked this turn.\nWhenever you cast a white-bordered spell, Border Guardian gains double strike until end of tur",1,1,,140,orderofthewidget,0.13,0.15
Shaggy Camel,Unstable,silver,{3}{W},Host Creature — Camel,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.",3,3,,22,,0.08,0.05
Common Iguana,Unsanctioned,silver,{1}{R},Host Creature — Lizard,"When this creature enters the battlefield, you may discard a card. If you do, draw a card.",1,3,,50,,0.07,0.19
Oaken Power Suit,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Oaken Power Suit, target creature gets +X/+X until end of turn, where X is the greatest power among creatures you control.",,,,196,crossbreedlabs,0.17,0.25
Knight of the Kitchen Sink,Unstable,silver,{W}{W},Artifact Creature — Cyborg Knight,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)",2,2,,12c,orderofthewidget,0.3,0.15
Bumbling Pangolin,Unstable,silver,{3}{R},Host Creature — Pangolin Beast,"When this creature enters the battlefield, you may destroy target artifact.",2,2,,78,,0.07,0.02
"Richard Garfield, Ph.D.",Unhinged,silver,{3}{U}{U},Legendary Creature — Human Designer,You may play cards as though they were other cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),2,2,,44★,,,
As Luck Would Have It,The List (Unfinity Foil Edition),silver,{G},Enchantment,"Hexproof\nWhenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. (Count both rolls if you reroll a die.",,,,33,,,
Number Crunch,Unhinged,silver,{2}{U},Instant,"Return target permanent to its owner's hand.\nGotcha — If an opponent says a number, you may say \""Gotcha!\"" When you do, return Number Crunch from your graveyard to your ha",,,,42,,0.15,0.1
Extremely Slow Zombie,Unstable,silver,{1}{B},Creature — Zombie,Last strike (This creature deals combat damage after creatures without last strike.),3,3,,54a,,0.21,0.15
Kill! Destroy!,Unhinged,silver,{1}{B}{B},Instant,"Destroy target nonblack creature.\nGotcha — If an opponent says \""kill\"" or \""destroy,\"" you may say \""Gotcha!\"" When you do, return Kill! Destroy! from your graveyard to you",,,,58,,0.85,0.74
capital offense,Unstable,silver,{2}{B}{B},instant,"target creature gets -x/-x until end of turn, where x is the number of times a capital letter appears in its rules text. (ignore reminder text and flavor text.)",,,,52,leagueofdastardlydoom,0.07,0.11
The Countdown Is at One,Unstable,silver,{3}{R}{R},Sorcery,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.",,,,80,leagueofdastardlydoom,0.16,0.25
Rogue,Unstable Tokens,silver,"",Token Creature — Rogue,Menace,2,2,,7,agentsofsneak,,
Frazzled Editor,Unhinged,silver,{1}{R},Creature — Human Bureaucrat,Protection from wordy (Something is wordy if it has four or more lines of rules text.),2,2,,77,,0.14,0.1
Infernal Spawn of Evil,Unsanctioned,silver,{6}{B}{B}{B},Creature — Beast,"Flying, first strike\n{1}{B}, Reveal Infernal Spawn of Evil from your hand, Say \""It's coming!\"": Infernal Spawn of Evil deals 1 damage to target opponent or planeswalker. Activate only during your upkeep and only once each tu",7,7,,38,,0.13,0.1
Wrench-Rigger,Unstable,silver,{R},Creature — Goblin Rigger,"When Wrench-Rigger enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",1,1,,101,goblinexplosioneers,0.09,0.25
Blacker Lotus,Unglued,silver,{0},Artifact,{T}: Tear Blacker Lotus into pieces. Add four mana of any one color. Remove the pieces from the game.,,,,70,,17.34,20.0
Amateur Auteur,Unstable,silver,{1}{W},Creature — Human,Sacrifice Amateur Auteur: Destroy target enchantment.,2,2,,3d,,0.13,0.15
Clay Pigeon,Unglued,silver,{3},Artifact Creature — Bird,"Flying\n{1}, Throw Clay Pigeon into the air at least two feet above your head while seated: If you catch Clay Pigeon with one hand, prevent all damage a source of your choice would deal to you this turn and tap Clay Pigeon. Otherwise, sacrifice it",1,1,,73,,0.32,1.25
Buzzing Whack-a-Doodle,Unstable,silver,{4},Artifact,"As Buzzing Whack-a-Doodle enters the battlefield, you and an opponent each secretly choose Whack or Doodle. Then those choices are revealed. If the choices match, Buzzing Whack-a-Doodle has that ability. Otherwise, it has Buzz.\n• Whack — {T}: Target player loses 2 life.\n• Doodle — {T}: You gain 3 life.\n• Buzz — {2}, {T}: Draw a ca",,,,141,,0.1,0.19
Mana Flair,Unhinged,silver,{1}{R},Instant,Add {R} for each nonland permanent with art by the artist of your choice.,,,,81,,0.1,0.1
Feisty Stegosaurus,Unstable,silver,{4}{R},Host Creature — Dinosaur,"When this creature enters the battlefield, roll a six-sided die. This creature deals damage equal to the result to target creature an opponent controls.",2,1,,81,,0.12,0.19
"Look at Me, I'm the DCI",Unsanctioned,silver,{5}{W}{W},Sorcery,Ban a card other than a basic land card for the rest of the match. (All cards with that name in any zone or sideboard are removed from the match.),,,,10,,0.17,0.22
Drawn Together,Unhinged,silver,{2}{W}{W},Enchantment,"As Drawn Together enters the battlefield, choose an artist.\nCreatures with art by the chosen artist get +2/+2",,,,8,,0.37,0.3
Ol' Buzzbark,Unstable,silver,{X}{R}{G},Legendary Creature — Goblin Warrior,"When Ol' Buzzbark enters the battlefield, roll X six-sided dice onto the battlefield from a height of at least X inches. For each die, put a number of +1/+1 counters equal to the result on each creature you control that die is touching. For each die, Ol' Buzzbark deals damage equal to the result to each creature an opponent controls that die is touching.",3,3,,134,goblinexplosioneers,0.3,0.78
Curious Killbot,Unstable,silver,{2},Artifact Creature — Killbot,"",2,1,,145a,leagueofdastardlydoom,0.34,0.19
Targeting Rocket,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Targeting Rocket, target creature blocks this turn if able.",,,,205,goblinexplosioneers,0.19,0.12
Goblin Mime,Unhinged,silver,{1}{R},Creature — Goblin Mime,"When you speak, sacrifice Goblin Mime.",2,2,,78,,0.12,0.1
Laughing Hyena,Unhinged,silver,{1}{G},Creature — Hyena,"Gotcha — If an opponent laughs, you may say \""Gotcha!\"" When you do, return Laughing Hyena from your graveyard to your han",2,2,,103,,0.12,0.1
Double Header,Unhinged,silver,{3}{U}{U},Creature — Drake,"Flying\nWhen Double Header enters the battlefield, you may return target permanent with a two-word name to its owner's hand",2,3,,31,,0.13,0.1
Squirrel,Unstable Tokens,silver,"",Token Creature — Squirrel,"",1,1,,15,,,
Bloodletter,Unhinged,silver,{2}{B},Creature — Zombie,"When the names of three or more nonland permanents begin with the same letter, sacrifice Bloodletter. If you do, it deals 2 damage to each creature and each player.",2,3,,50,,0.11,0.1
Sword of Dungeons \u0026 Dr,The List (Unfinity Foil Edition),silver,{3},Artifact — Equipment,"Equipped creature gets +2/+2 and has protection from Rogues and from Clerics.\nWhenever equipped creature deals combat damage to a player, create a 4/4 gold Dragon creature token with flying and roll a d20 (a twenty-sided die). If you roll a 20, repeat this process.\nEquip {",,,,61,,,
Hydradoodle,The List (Unfinity Foil Edition),silver,{X}{X}{G}{G},Creature — Hydra Dog,"As Hydradoodle enters the battlefield, roll X six-sided dice. Hydradoodle enters the battlefield with a number of +1/+1 counters on it equal to the total of those results.\nReach, trampl",0,0,,36,crossbreedlabs,,
Island,Unglued,black,"",Basic Land — Island,({T}: Add {U}.),,,,85,,7.37,2.5
Graveyard Busybody,The List (Unfinity Foil Edition),silver,{4}{U}{U},Creature — Human Spy,All graveyards are also your graveyards.\nGraveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards,*,*,,15,agentsofsneak,,
Dr. Julius Jumblemorph,Unstable,silver,{2}{G}{W},Legendary Creature,"Dr. Julius Jumblemorph is every creature type (even if this card isn't on the battlefield).\nWhenever a host enters the battlefield under your control, you may search your library and/or graveyard for a card with augment and combine it with that host. If you search your library this way, shuffle",4,4,,130,crossbreedlabs,0.26,0.2
Pointy Finger of Doom,Unhinged,silver,{4},Artifact,"{3}, {T}: Spin Pointy Finger of Doom in the middle of the table so that it rotates completely at least once, then destroy the closest permanent the finger points to.",,,,126,,1.45,0.5
Monkey-,Unstable,silver,"",Creature — Monkey,"Whenever a nontoken creature you control dies,\nAugment {2}{G} ({2}{G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.",+2,+2,,115,,0.16,0.19
Incoming!,Unglued,silver,{4}{G}{G}{G}{G},Sorcery,"Each player searches their library for any number of artifact, creature, enchantment, and/or land cards, puts them onto the battlefield, then shuffles.",,,,64,,1.28,0.76
Time Machine,Unhinged,silver,{5},Artifact,"{T}: Exile Time Machine and target nontoken creature you own. Return them to the battlefield at the beginning of your upkeep on your turn X in the next game you play with one of your opponents in this game, where X is the mana value of the exiled creature.",,,,128★,,,
Orcish Paratroopers,Unhinged,silver,{2}{R},Creature — Orc Paratrooper,"When Orcish Paratroopers enters the battlefield, flip it from a height of at least one foot. Sacrifice Orcish Paratroopers unless it turns over completely at least once during the flip and lands face up.",4,4,,83,,0.15,0.03
Gimme Five,Unstable,silver,{W},Instant,You gain 1 life for each person who high-fives you in the next thirty seconds. Each player in an Un-game who high-fives you gains 1 life. (Offer high fives. Don't hit people.),,,,7,crossbreedlabs,0.09,0.09
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing right in its art. (Creatures without faces don't face anywhere.)",2,2,,67d,agentsofsneak,0.28,0.25
"I'm Rubber, You're Glue",Unglued,silver,{W}{W},Enchantment,"When you speak in non-rhyming sentences, sacrifice I'm Rubber, You're Glue.\nSay \""I'm rubber, you're glue. Everything bounces off me and sticks to you\"": Change the target of target spell or ability that targets only y",,,,5,,0.81,0.52
Party Crasher,Unstable,silver,{4}{R},Creature — Goblin Berserker,Haste\nYou can attack with Party Crasher once each combat during each opponent's turn,3,3,,92,goblinexplosioneers,0.1,0.1
The Countdown Is at One,The List (Unfinity Foil Edition),silver,{3}{R}{R},Sorcery,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.",,,,28,leagueofdastardlydoom,,
Zombie // Zombie,Unstable Tokens,black,,Token Creature — Zombie // Token,,,,,9,,,
_____,Unhinged,silver,{1}{U},Creature — Shapeshifter,"{1}: This card's name becomes the card name of your choice. Activate anywhere, anytime.",1,1,,23,,0.41,0.5
Persecute Artist,Unhinged,silver,{1}{B}{B},Sorcery,Choose an artist other than Rebecca Guay. Target player reveals their hand and discards all nonland cards with art by the chosen artist.,,,,61,,0.27,0.2
Frankie Peanuts,Unhinged,silver,{2}{W}{W},Legendary Creature — Elephant Rogue,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",2,3,,13,,0.54,0.5
Rock Lobster,Unglued,silver,{4},Artifact Creature — Lobster,Creatures named Scissors Lizard can't attack or block.,4,3,,79,,0.88,0.78
Socketed Sprocketer,Unstable,silver,{U},Artifact Creature — Cyborg Knight,"{T}: Uninstall all results from Socketed Sprocketer, then roll a six-sided die. Install the result on Socketed Sprocketer. (Put the die on this card.)\nYou may uninstall a result from Socketed Sprocketer to use it for a die you rolled.\nUninstall a 6 from Socketed Sprocketer: Draw a car",1,1,,44,orderofthewidget,0.14,0.1
Record Store,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Record Store, look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.",,,,201,orderofthewidget,0.18,0.19
Our Market Research Shows That Players Like Really Long Card Names So We Made this Card to Have the Absolute Longest Card Name Ever Elemental,Unhinged,silver,{1}{G}{G},Creature — Elemental,"Art rampage 2 (Whenever this creature becomes blocked by a creature, it gets +2/+2 for each creature in the blocker's art beyond the first.)",2,2,,107,,0.22,0.05
Meddling Kids,Unhinged,silver,{2}{W}{U},Creature — Human Child,"As Meddling Kids enters the battlefield, choose a word with four or more letters.\nSpells with the chosen word in their text box can't be cast",2,3,,118,,1.0,0.4
Blast from the Past,Unhinged,silver,{2}{R},Instant,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}\nBlast from the Past deals 2 damage to any target. If this spell was kicked, create a 1/1 red Goblin creature token",,,,72,,0.95,0.99
Sly Spy,Unstable,silver,{2}{B},Creature — Human Spy,"Whenever Sly Spy deals combat damage to a player, that player reveals their hand. You choose a card from it with the longest name. That player discards that card.",2,2,,67a,agentsofsneak,0.23,0.5
Vampire // Vampire,Unstable Tokens,black,,Token Creature — Vampire // Token,,,,,8,,,
"Infernius Spawnington III, Esq.",Unsanctioned,silver,{10}{B},Creature — Demon Beast Grandchild,"Flying, first strike, trample, haste\nThis spell costs {3} less to cast for each card you've revealed this turn.\nWhen Infernius Spawnington III, Esq. enters the battlefield, you may say \""I'm here.\"" If you do, it deals 3 damage to target pla",9,9,,40,,0.15,0.1
Touch and Go,Unhinged,silver,{3}{R},Sorcery,"Destroy target land.\nGotcha — If an opponent touches their face, you may say \""Gotcha!\"" When you do, return Touch and Go from your graveyard to your ha",,,,90,,0.15,0.04
"Finders, Keepers",Unstable,silver,{5}{B},Sorcery,"Destroy target creature, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",,,,55,agentsofsneak,0.07,0.19
Lackey Recycler,Unstable,borderless,"",Artifact — Contraption,"Whenever you crank Lackey Recycler, put target creature card from your graveyard on top of your library.",,,,193,leagueofdastardlydoom,0.13,0.03
Common Iguana,Unstable,silver,{1}{R},Host Creature — Lizard,"When this creature enters the battlefield, you may discard a card. If you do, draw a card.",1,3,,79,,0.11,0.03
Psychic Network,Unglued,silver,{U},Enchantment,"Each player plays with the top card of their library held against their forehead, revealed to each other player.",,,,26,,1.08,0.55
Beast // Beast,Unstable Tokens,black,,Token Creature — Beast // Token,,,,,13,,,
"Strategy, Schmategy",Unsanctioned,silver,{1}{R},Sorcery,"Roll a six-sided die. Strategy, Schmategy has the indicated effect.\n1 — Do nothing.\n2 — Destroy all artifacts.\n3 — Destroy all lands.\n4 — Strategy, Schmategy deals 3 damage to each creature and each player.\n5 — Each player discards their hand and draws seven cards.\n6 — Repeat this process two more ",,,,58,,0.23,0.17
"Richard Garfield, Ph.D.",Unsanctioned,silver,{3}{U}{U},Legendary Creature — Human Designer,You may play cards as though they were other cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),2,2,,26,,0.23,2.0
The Ultimate Nightmare of Wizards of the Coast® Customer Service,Unglued,silver,{X}{Y}{Z}{R}{R},Sorcery,The Ultimate Nightmare of Wizards of the Coast® Customer Service deals X damage to each of Y target creatures and Z target players or planeswalkers.,,,,53,,0.44,0.2
